Timedate;Library;School;City Hall
01/01/13 00:00;2;8;16
01/01/13 00:15;2;7;17
01/01/13 00:30;3;8;16
01/01/13 00:45;2;7;17
01/01/13 01:00;2;7;17
01/01/13 01:15;2;7;15
01/01/13 01:30;2;7;15
01/01/13 01:45;2;8;16
01/01/13 02:00;2;7;15
01/01/13 02:15;2;7;14
01/01/13 02:30;2;7;14
01/01/13 02:45;2;7;14
01/01/13 03:00;2;8;14
01/01/13 03:15;3;6;15
01/01/13 03:30;2;7;13
01/01/13 03:45;2;8;14
01/01/13 04:00;2;7;13
01/01/13 04:15;2;7;14
01/01/13 04:30;2;7;13
01/01/13 04:45;2;7;13
01/01/13 05:00;2;7;14
01/01/13 05:15;2;7;13
01/01/13 05:30;2;7;13
01/01/13 05:45;2;7;13
01/01/13 06:00;2;7;13
01/01/13 06:15;2;7;13
01/01/13 06:30;2;7;15
01/01/13 06:45;2;7;17
01/01/13 07:00;11;7;14
01/01/13 07:15;9;7;14
01/01/13 07:30;8;7;15
01/01/13 07:45;8;7;14
01/01/13 08:00;8;7;14
01/01/13 08:15;8;7;14
01/01/13 08:30;8;7;14
01/01/13 08:45;8;7;15
01/01/13 09:00;8;7;14
01/01/13 09:15;8;7;14
01/01/13 09:30;8;8;14
01/01/13 09:45;8;8;14
01/01/13 10:00;7;8;14
01/01/13 10:15;8;8;14
01/01/13 10:30;7;7;14
01/01/13 10:45;7;9;14
01/01/13 11:00;7;9;16
01/01/13 11:15;8;8;15
01/01/13 11:30;7;9;13
01/01/13 11:45;7;8;15
01/01/13 12:00;7;7;15
01/01/13 12:15;7;7;15
01/01/13 12:30;7;7;14
01/01/13 12:45;7;6;14
01/01/13 13:00;7;7;14
01/01/13 13:15;8;8;16
01/01/13 13:30;7;7;15
01/01/13 13:45;8;8;17
01/01/13 14:00;7;9;14
01/01/13 14:15;7;7;15
01/01/13 14:30;7;8;14
01/01/13 14:45;7;7;16
01/01/13 15:00;7;8;15
01/01/13 15:15;7;8;14
01/01/13 15:30;7;7;14
01/01/13 15:45;8;8;14
01/01/13 16:00;7;7;14
01/01/13 16:15;7;8;14
01/01/13 16:30;7;7;13
01/01/13 16:45;7;8;14
01/01/13 17:00;7;8;15
01/01/13 17:15;7;7;13
01/01/13 17:30;7;7;14
01/01/13 17:45;8;8;14
01/01/13 18:00;7;7;14
01/01/13 18:15;7;7;14
01/01/13 18:30;7;7;15
01/01/13 18:45;7;7;17
01/01/13 19:00;7;7;15
01/01/13 19:15;7;7;14
01/01/13 19:30;7;7;14
01/01/13 19:45;7;7;14
01/01/13 20:00;3;7;14
01/01/13 20:15;2;9;15
01/01/13 20:30;2;7;14
01/01/13 20:45;2;8;14
01/01/13 21:00;2;8;15
01/01/13 21:15;2;7;14
01/01/13 21:30;2;7;14
01/01/13 21:45;2;6;15
01/01/13 22:00;2;6;14
01/01/13 22:15;2;7;17
01/01/13 22:30;2;7;15
01/01/13 22:45;2;7;15
01/01/13 23:00;2;8;14
01/01/13 23:15;2;7;14
01/01/13 23:30;2;7;15
01/01/13 23:45;3;7;14
02/01/13 00:00;2;7;15
02/01/13 00:15;2;8;15
02/01/13 00:30;2;7;15
02/01/13 00:45;2;7;16
02/01/13 01:00;2;7;15
02/01/13 01:15;2;8;15
02/01/13 01:30;2;7;14
02/01/13 01:45;2;7;14
02/01/13 02:00;2;7;16
02/01/13 02:15;2;7;16
02/01/13 02:30;3;8;16
02/01/13 02:45;2;7;15
02/01/13 03:00;2;7;15
02/01/13 03:15;2;8;17
02/01/13 03:30;2;7;15
02/01/13 03:45;2;7;16
02/01/13 04:00;2;7;16
02/01/13 04:15;3;7;15
02/01/13 04:30;2;6;15
02/01/13 04:45;2;7;15
02/01/13 05:00;2;7;16
02/01/13 05:15;2;7;15
02/01/13 05:30;2;6;15
02/01/13 05:45;2;7;15
02/01/13 06:00;2;7;15
02/01/13 06:15;2;6;14
02/01/13 06:30;2;7;22
02/01/13 06:45;1;7;50
02/01/13 07:00;3;7;58
02/01/13 07:15;3;7;56
02/01/13 07:30;3;8;58
02/01/13 07:45;4;7;63
02/01/13 08:00;5;7;63
02/01/13 08:15;4;7;62
02/01/13 08:30;5;9;77
02/01/13 08:45;5;11;75
02/01/13 09:00;6;9;75
02/01/13 09:15;8;12;73
